Archivo,Tipo,Parametros,Descripcion
RECT_001_191.7x150.2.dxf,Rectangulo,"Ancho=191.72, Largo=150.24",Rectángulo de 191.7mm x 150.2mm
RECT_001_191.7x150.2_2holes.dxf,Rectangulo con agujeros,"Ancho=191.72, Largo=150.24, Agujeros=2, Diametros=[12.26, 11.19]",Rectángulo 191.7x150.2mm con 2 agujeros (distribución circular)
WASH_002_D283.3-132.9.dxf,Arandela,"D_exterior=283.28, D_interior=132.91",Arandela Ø283.3mm / Ø132.9mm
WASH_002_D283.3-132.9_12holes.dxf,Arandela con agujeros,"D_exterior=283.28, D_interior=132.91, Agujeros=12, D_agujero=8.35",Arandela Ø283.3/Ø132.9mm con 12 agujeros de Ø8.3mm (circular)
RECT_003_2502.6x1416.3.dxf,Rectangulo,"Ancho=2502.58, Largo=1416.31",Rectángulo de 2502.6mm x 1416.3mm
RECT_003_2502.6x1416.3_8holes.dxf,Rectangulo con agujeros,"Ancho=2502.58, Largo=1416.31, Agujeros=8, Diametros=[11.63, 6.09, 6.57, 9.03, 9.60, 6.18, 10.20, 10.16]",Rectángulo 2502.6x1416.3mm con 8 agujeros (distribución cuadricula)
WASH_004_D227.4-82.7.dxf,Arandela,"D_exterior=227.36, D_interior=82.73",Arandela Ø227.4mm / Ø82.7mm
WASH_004_D227.4-82.7_25holes.dxf,Arandela con agujeros,"D_exterior=227.36, D_interior=82.73, Agujeros=25, D_agujero=4.44",Arandela Ø227.4/Ø82.7mm con 25 agujeros de Ø4.4mm (circular)
RECT_005_279.2x17.2.dxf,Rectangulo,"Ancho=279.20, Largo=17.20",Rectángulo de 279.2mm x 17.2mm
RECT_005_279.2x17.2_2holes.dxf,Rectangulo con agujeros,"Ancho=279.20, Largo=17.20, Agujeros=2, Diametros=[10.86, 5.65]",Rectángulo 279.2x17.2mm con 2 agujeros (distribución circular)
WASH_006_D1206.9-516.8.dxf,Arandela,"D_exterior=1206.87, D_interior=516.84",Arandela Ø1206.9mm / Ø516.8mm
WASH_006_D1206.9-516.8_11holes.dxf,Arandela con agujeros,"D_exterior=1206.87, D_interior=516.84, Agujeros=11, D_agujero=6.74",Arandela Ø1206.9/Ø516.8mm con 11 agujeros de Ø6.7mm (circular)
WASH_007_D241.5-161.2.dxf,Arandela,"D_exterior=241.54, D_interior=161.18",Arandela Ø241.5mm / Ø161.2mm
WASH_007_D241.5-161.2_11holes.dxf,Arandela con agujeros,"D_exterior=241.54, D_interior=161.18, Agujeros=11, D_agujero=4.44",Arandela Ø241.5/Ø161.2mm con 11 agujeros de Ø4.4mm (circular)
WASH_008_D1014.1-665.8.dxf,Arandela,"D_exterior=1014.07, D_interior=665.75",Arandela Ø1014.1mm / Ø665.8mm
WASH_008_D1014.1-665.8_8holes.dxf,Arandela con agujeros,"D_exterior=1014.07, D_interior=665.75, Agujeros=8, D_agujero=12.34",Arandela Ø1014.1/Ø665.8mm con 8 agujeros de Ø12.3mm (circular)
WASH_009_D937.5-651.6.dxf,Arandela,"D_exterior=937.53, D_interior=651.57",Arandela Ø937.5mm / Ø651.6mm
WASH_009_D937.5-651.6_34holes.dxf,Arandela con agujeros,"D_exterior=937.53, D_interior=651.57, Agujeros=34, D_agujero=4.02",Arandela Ø937.5/Ø651.6mm con 34 agujeros de Ø4.0mm (circular)
RECT_010_304.8x85.9.dxf,Rectangulo,"Ancho=304.77, Largo=85.90",Rectángulo de 304.8mm x 85.9mm
RECT_010_304.8x85.9_1holes.dxf,Rectangulo con agujeros,"Ancho=304.77, Largo=85.90, Agujeros=1, Diametros=[12.89]",Rectángulo 304.8x85.9mm con 1 agujeros (distribución circular)
WASH_011_D1214.1-457.4.dxf,Arandela,"D_exterior=1214.09, D_interior=457.43",Arandela Ø1214.1mm / Ø457.4mm
WASH_011_D1214.1-457.4_24holes.dxf,Arandela con agujeros,"D_exterior=1214.09, D_interior=457.43, Agujeros=24, D_agujero=11.50",Arandela Ø1214.1/Ø457.4mm con 24 agujeros de Ø11.5mm (circular)
WASH_012_D856.1-552.0.dxf,Arandela,"D_exterior=856.09, D_interior=552.01",Arandela Ø856.1mm / Ø552.0mm
WASH_012_D856.1-552.0_9holes.dxf,Arandela con agujeros,"D_exterior=856.09, D_interior=552.01, Agujeros=9, D_agujero=13.76",Arandela Ø856.1/Ø552.0mm con 9 agujeros de Ø13.8mm (circular)
