Nº pieza,Denominación de pieza,Tipo de pieza,Material en bruto,Actividad,Estado de FT,Tiempo de mecanizado nominal [min],Tiempo de mecanizado real [min],Cantidad real,Peso por unidad,Anchura,Longitud,MaterialTruTops,Tipo_Material,Espesor_mm,Tiempo_unitario_real_min,bounding_box_area,aspect_ratio,perimetro_aproximado,Tiempo_unitario_nominal_min,bounding_box_area_mm2,perimetro_aproximado_mm,dim_max,dim_min,peso_kg
002009--24722,Enganche a base p/lateral gondola cosmet,,GALVA-1.5,Plegado,Listo,50.0,38.919599999999996,102,0.26054999999999995,55.48226,400.0,GALVA-15,GALVA,1.5,0.3815647058823529,22192.904,7.209511652913923,910.96452,0.49019607843137253,22192.904,910.96452,400.0,55.48226,0.26054999999999995
002235103812R,Racimo anclaje lateral a poste P25,,GALVA-2,Plegado,Listo,15.0,31.0723,30,0.35324999999999995,126.26071999999999,220.0,GALVA-20,GALVA,2.0,1.0357433333333332,27777.358399999997,1.7424263064554044,692.52144,0.5,27777.358399999997,692.52144,220.0,126.26071999999999,0.35324999999999995
01089-0001,Soporte union 3 postes cabecera,Soporte,DD11 DEC.-3,Plegado,Listo,7.0,7.0,14,2.2342899999999997,122.33583999999999,860.0,St37-30,DD11 DEC.,3.0,0.5,105208.82239999999,7.029828707597055,1964.67168,0.5,105208.82239999999,1964.67168,860.0,122.33583999999999,2.2342899999999997
02076-1000,Armado cinta delantera 1000x500 ALU-I,Armado,GALVA-2,Plegado,Listo,5.0,11.861099999999999,10,7.933389999999999,730.07097,810.0,GALVA-20,GALVA,2.0,1.1861099999999998,591357.4857,1.1094811782476435,3080.14194,0.5,591357.4857,3080.14194,810.0,730.07097,7.933389999999999
02076-1000,Armado cinta delantera 1000x500 ALU-I,Armado,GALVA-2,Plegado,Listo,5.0,14.613199999999999,10,7.933389999999999,730.07097,810.0,GALVA-20,GALVA,2.0,1.46132,591357.4857,1.1094811782476435,3080.14194,0.5,591357.4857,3080.14194,810.0,730.07097,7.933389999999999
052009--19886,Chapa elementos electricos p/zapatero 13,Chapa,GALVA-1.5,Plegado,Listo,10.5,56.493399999999994,21,2.3138699999999996,452.33583999999996,441.16792,GALVA-15,GALVA,1.5,2.6901619047619043,199556.06167425276,1.0253144426276506,1787.0075199999999,0.5,199556.06167425276,1787.0075199999999,452.33583999999996,441.16792,2.3138699999999996
052009--22109,Anclaje frontal madera pan blanco,,GALVA-1.5,Plegado,Listo,100.0,33.2187,200,0.017949999999999997,26.51327,60.0,GALVA-15,GALVA,1.5,0.1660935,1590.7962,2.263017726595022,173.02654,0.5,1590.7962,173.02654,60.0,26.51327,0.017949999999999997
052225--9066,Chapa L soporte 83x25x200 p/tape fondo,Soporte/Chapa,GALVA-1.5,Plegado,Listo,62.0,26.243499999999997,134,0.20611,83.0,222.58396,GALVA-15,GALVA,1.5,0.19584701492537313,18474.468679999998,2.6817344578313254,611.16792,0.4626865671641791,18474.468679999998,611.16792,222.58396,83.0,0.20611
052575--0975,1650403-0001-B SYM TRAV. JONCT. PIET ARR,,GALVA-2,Plegado,Listo,14.5,47.690599999999996,29,2.7839799999999997,205.64371999999997,920.2955999999999,GALVA-20,GALVA,2.0,1.644503448275862,189253.01068363196,4.475194282616557,2251.87864,0.5,189253.01068363196,2251.87864,920.2955999999999,205.64371999999997,2.7839799999999997
10000000028,"Fijacion dcha poste a pared ""CADI""",,DD11 DEC.-3,Plegado,Listo,15.0,13.129299999999999,30,0.058839999999999996,64.0,59.169999999999995,St37-30,DD11 DEC.,3.0,0.4376433333333333,3786.8799999999997,1.0816292039885078,246.33999999999997,0.5,3786.8799999999997,246.33999999999997,64.0,59.169999999999995,0.058839999999999996
10000401400,Fondo lateral columna 103x400 dcho,,DD11 DEC.-1.1,Plegado,Listo,25.0,40.437599999999996,50,0.44738999999999995,134.20866999999998,448.41999999999996,St37-11,DD11 DEC.,1.1,0.8087519999999999,60181.851801399986,3.341214841038213,1165.2573399999999,0.5,60181.851801399986,1165.2573399999999,448.41999999999996,134.20866999999998,0.44738999999999995
10000401401,Fondo lateral columna 103x400 izdo,,DD11 DEC.-1.1,Plegado,Listo,25.0,50.7358,50,0.44738999999999995,134.20866999999998,448.41733999999997,St37-11,DD11 DEC.,1.1,1.014716,60181.49480633779,3.341195021156234,1165.25202,0.5,60181.49480633779,1165.25202,448.41733999999997,134.20866999999998,0.44738999999999995
10005500703,Lateral chapa izdo espejo fruteria techo,Chapa,DD11 DEC.-0.7,Plegado,Listo,10.0,0.0789,20,1.9582,782.37118,795.38969,St37-7,DD11 DEC.,0.7,0.003945,622289.9703251341,1.0166398128315515,3155.52174,0.5,622289.9703251341,3155.52174,795.38969,782.37118,1.9582
102009102442,Fondo liso decorativo 665x400 p/metacril,,DD11 DEC.-0.7,Plegado,Listo,15.0,52.8818,48,0.48956,454.52115,701.0672999999999,St37-7,DD11 DEC.,0.7,1.1017041666666667,318649.91542339494,1.54243053376064,2311.1769,0.3125,318649.91542339494,2311.1769,701.0672999999999,454.52115,0.48956
102009--12840,Chapa inferior p/ iman expositor central,Chapa,DD11 DEC.-0.9,Plegado,Listo,25.0,37.928999999999995,50,0.06509999999999999,43.4867,257.37341,St37-9,DD11 DEC.,0.9,0.7585799999999999,11192.320268647,5.918439660861826,601.7202199999999,0.5,11192.320268647,601.7202199999999,257.37341,43.4867,0.06509999999999999
102009--18454,Copete IZDO 500x100x20 extensible p/post,,DD11 DEC.-0.7,Plegado,Listo,12.5,38.623,25,0.45198999999999995,160.55243,532.8381099999999,St37-7,DD11 DEC.,0.7,1.5449199999999998,85548.45335710728,3.318779479077333,1386.7810799999997,0.5,85548.45335710728,1386.7810799999997,532.8381099999999,160.55243,0.45198999999999995
102009--18455,Copete DCHO 450x100x20 extensible p/post,,DD11 DEC.-0.7,Plegado,Listo,12.5,35.235499999999995,25,0.39324,154.55243,482.83811,St37-7,DD11 DEC.,0.7,1.40942,74623.80319710729,3.1241055866931373,1274.78108,0.5,74623.80319710729,1274.78108,482.83811,154.55243,0.39324
102009--18455,Copete DCHO 450x100x20 extensible p/post,,DD11 DEC.-0.7,Plegado,Listo,20.0,35.220299999999995,42,0.39324,154.55243,482.83811,St37-7,DD11 DEC.,0.7,0.8385785714285713,74623.80319710729,3.1241055866931373,1274.78108,0.47619047619047616,74623.80319710729,1274.78108,482.83811,154.55243,0.39324
102009--24323,Soporte fuente alimentacionTPV V5,Soporte,DD11 DEC.-0.9,Plegado,Listo,3.0,19.545699999999997,6,0.1528,105.13628,227.94512999999998,St37-9,DD11 DEC.,0.9,3.257616666666666,23965.3030123164,2.16809202303905,666.16282,0.5,23965.3030123164,666.16282,227.94512999999998,105.13628,0.1528
102009--7293,Lateral derecho interior mostrador venta,,DD11 DEC.-1.1,Plegado,Interrumpido,25.0,44.711099999999995,32,4.26751,649.04779,784.1619499999999,St37-11,DD11 DEC.,1.1,1.3972218749999998,508958.5806495904,1.208172898947857,2866.4194799999996,0.78125,508958.5806495904,2866.4194799999996,784.1619499999999,649.04779,4.26751
102009--7303,Frente 620 ciego mostrador,,DD11 DEC.-1.4,Plegado,Listo,10.0,34.66759999999999,20,0.5686399999999999,83.30087999999999,639.3008799999999,St37-14,DD11 DEC.,1.4,1.7333799999999997,53254.32588877439,7.674599355973189,1445.2035199999998,0.5,53254.32588877439,1445.2035199999998,639.3008799999999,83.30087999999999,0.5686399999999999
102143--3369,Estante extensible 400/700x103 a lama p5,,DD11 DEC.-1.1,Plegado,Listo,2.5,0.0411,5,0.48133,147.03760999999997,411.96,St37-11,DD11 DEC.,1.1,0.00822,60573.61381559999,2.801732155466891,1117.9952199999998,0.5,60573.61381559999,1117.9952199999998,411.96,147.03760999999997,0.48133
102143--3370,Estante extensible 400/700x103 a lama p5,,DD11 DEC.-1.1,Plegado,Listo,2.5,19.0673,9,0.47676999999999997,413.06194999999997,151.26999999999998,St37-11,DD11 DEC.,1.1,2.1185888888888886,62483.881176499985,2.7306270245256825,1128.6639,0.2777777777777778,62483.881176499985,1128.6639,413.06194999999997,151.26999999999998,0.47676999999999997
102297--1623,Refuerzo estante 1150 mel.16 larg.100X40,Refuerzo,DD11 DEC.-0.9,Plegado,Listo,145.0,131.52939999999998,290,0.91567,128.40168,1032.0,St37-9,DD11 DEC.,0.9,0.45354965517241375,132510.53376,8.037278016923143,2320.80336,0.5,132510.53376,2320.80336,1032.0,128.40168,0.91567
102297--1624,Refuerzo estante1000 mel.16 larg.100X40,Refuerzo,DD11 DEC.-0.9,Plegado,Listo,42.5,54.736999999999995,99,0.8213199999999999,128.40168,928.0,St37-9,DD11 DEC.,0.9,0.5528989898989899,119156.75904,7.227319767155695,2112.80336,0.4292929292929293,119156.75904,2112.80336,928.0,128.40168,0.8213199999999999
10701100043,Estante intermedio p/base 1000x500 c/c A,,DD11 DEC.-0.9,Plegado,Listo,25.0,54.4357,50,3.3581299999999996,542.8512599999999,881.5,St37-9,DD11 DEC.,0.9,1.088714,478523.3856899999,1.6238333866997015,2848.70252,0.5,478523.3856899999,2848.70252,881.5,542.8512599999999,3.3581299999999996
120600M0,"322,018,01,4 BARRA APERTURA PEDALIERA B",,GALVA-4,Plegado,Listo,2.0,13.7221,4,0.41518,106.97,451.7,GALVA-40,GALVA,4.0,3.430525,48318.348999999995,4.22267925586613,1117.34,0.5,48318.348999999995,1117.34,451.7,106.97,0.41518
180013–101–60B18,180013–101–60B18,,DD11 DEC.-3,Plegado,Listo,174.5,82.5051,349,0.07508,30.0,114.78999999999999,St37-30,DD11 DEC.,3.0,0.23640429799426935,3443.7,3.826333333333333,289.58,0.5,3443.7,289.58,114.78999999999999,30.0,0.07508
180013–197–10B01,180013–197–10B01,,DD11 DEC.-2,Plegado,Listo,82.0,1.4028999999999998,165,0.04831,38.0,99.72,St37-20,DD11 DEC.,2.0,0.008502424242424242,3789.36,2.6242105263157893,275.44,0.49696969696969695,3789.36,275.44,99.72,38.0,0.04831
180013–197–10B03,180013–197–10B03,,DD11 DEC.-2,Plegado,Listo,396.0,85.7896,792,0.23084,99.72389,263.0,St37-20,DD11 DEC.,2.0,0.10832020202020201,26227.38307,2.6372817987745965,725.44778,0.5,26227.38307,725.44778,263.0,99.72389,0.23084
180013–197–10B05,180013–197–10B05,,DD11 DEC.-2,Plegado,Listo,42.5,125.25869999999999,85,0.16655999999999999,99.72389,188.0,St37-20,DD11 DEC.,2.0,1.4736317647058823,18748.09132,1.885205240188685,575.44778,0.5,18748.09132,575.44778,188.0,99.72389,0.16655999999999999
2009103785,Soporte p/material electrico 400x300 bol,Soporte,GALVA-1.5,Plegado,Listo,27.5,64.8954,56,2.01077,435.16792,401.75187999999997,GALVA-15,GALVA,1.5,1.1588464285714284,174829.52997568957,1.0831758148835546,1673.8395999999998,0.49107142857142855,174829.52997568957,1673.8395999999998,435.16792,401.75187999999997,2.01077
2009103785,Soporte p/material electrico 400x300 bol,Soporte,GALVA-1.5,Plegado,Listo,17.5,77.6964,35,2.01077,435.16792,401.75187999999997,GALVA-15,GALVA,1.5,2.2198971428571426,174829.52997568957,1.0831758148835546,1673.8395999999998,0.5,174829.52997568957,1673.8395999999998,435.16792,401.75187999999997,2.01077
2060012000,1060012000-MARCO LENTE DE VIGILANCIA DE 285X140,,DD11 DEC.-0.9,Plegado,Listo,44.0,29.7856,88,0.031749999999999994,19.08916,240.0,St37-9,DD11 DEC.,0.9,0.33847272727272726,4581.3984,12.572580459276365,518.17832,0.5,4581.3984,518.17832,240.0,19.08916,0.031749999999999994
302297101165,Enganche accesorio larguero 100x40 SR50,,DD11 DEC.-3,Plegado,Listo,30.0,28.0418,61,0.27605999999999997,40.0,296.90664,St37-30,DD11 DEC.,3.0,0.4597016393442623,11876.265599999999,7.4226659999999995,673.81328,0.4918032786885246,11876.265599999999,673.81328,296.90664,40.0,0.27605999999999997
502000662,SOPORTE PARA MICRO,Soporte,DD11 DEC.-3,Plegado,Listo,4.0,4.1163,8,0.038639999999999994,30.0,58.0,St37-30,DD11 DEC.,3.0,0.5145375,1740.0,1.9333333333333333,176.0,0.5,1740.0,176.0,58.0,30.0,0.038639999999999994
502000986,LATERAL PATA HIDRAULICA IZQUIERDA,,DD11 DEC.-4,Plegado,Listo,6.0,10.0977,12,6.0248099999999996,311.2256,1060.14909,St37-40,DD11 DEC.,4.0,0.841475,329945.53662470396,3.4063685313804517,2742.7493799999997,0.5,329945.53662470396,2742.7493799999997,1060.14909,311.2256,6.0248099999999996
